District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date
Kegalle,14,11/29/2008,11,2008,49,12/5/2008
Kilinochchi,0,11/29/2008,11,2008,49,12/5/2008
Kurunegala,4,11/29/2008,11,2008,49,12/5/2008
Mannar,0,11/29/2008,11,2008,49,12/5/2008
Matale,5,11/29/2008,11,2008,49,12/5/2008
Matara,7,11/29/2008,11,2008,49,12/5/2008
Monaragala,0,11/29/2008,11,2008,49,12/5/2008
Mullaitivu,0,11/29/2008,11,2008,49,12/5/2008
Nuwara Eliya,1,11/29/2008,11,2008,49,12/5/2008
Polonnaruwa,0,11/29/2008,11,2008,49,12/5/2008
Puttalam,0,11/29/2008,11,2008,49,12/5/2008
Ratnapura,1,11/29/2008,11,2008,49,12/5/2008
Trincomalee,0,11/29/2008,11,2008,49,12/5/2008
Vavuniya,0,11/29/2008,11,2008,49,12/5/2008
Ampara,0,12/6/2008,12,2008,50,12/12/2008
Anuradhapura,0,12/6/2008,12,2008,50,12/12/2008
Badulla,1,12/6/2008,12,2008,50,12/12/2008
Batticaloa,0,12/6/2008,12,2008,50,12/12/2008
Colombo,17,12/6/2008,12,2008,50,12/12/2008
Galle,1,12/6/2008,12,2008,50,12/12/2008
Gampaha,7,12/6/2008,12,2008,50,12/12/2008
Hambantota,9,12/6/2008,12,2008,50,12/12/2008
Jaffna,0,12/6/2008,12,2008,50,12/12/2008
Kalmunai,0,12/6/2008,12,2008,50,12/12/2008
Kalutara,7,12/6/2008,12,2008,50,12/12/2008
Kandy,7,12/6/2008,12,2008,50,12/12/2008
Kegalle,7,12/6/2008,12,2008,50,12/12/2008
Kilinochchi,0,12/6/2008,12,2008,50,12/12/2008
Kurunegala,2,12/6/2008,12,2008,50,12/12/2008
Mannar,1,12/6/2008,12,2008,50,12/12/2008
Matale,4,12/6/2008,12,2008,50,12/12/2008
Matara,7,12/6/2008,12,2008,50,12/12/2008
Monaragala,0,12/6/2008,12,2008,50,12/12/2008
Mullaitivu,0,12/6/2008,12,2008,50,12/12/2008
Nuwara Eliya,0,12/6/2008,12,2008,50,12/12/2008
Polonnaruwa,1,12/6/2008,12,2008,50,12/12/2008
Puttalam,1,12/6/2008,12,2008,50,12/12/2008
Ratnapura,13,12/6/2008,12,2008,50,12/12/2008
Trincomalee,0,12/6/2008,12,2008,50,12/12/2008
Vavuniya,0,12/6/2008,12,2008,50,12/12/2008
Ampara,0,12/13/2008,12,2008,51,12/19/2008
Anuradhapura,0,12/13/2008,12,2008,51,12/19/2008
Badulla,1,12/13/2008,12,2008,51,12/19/2008
Batticaloa,1,12/13/2008,12,2008,51,12/19/2008
Colombo,19,12/13/2008,12,2008,51,12/19/2008
Galle,2,12/13/2008,12,2008,51,12/19/2008
Gampaha,19,12/13/2008,12,2008,51,12/19/2008
Hambantota,5,12/13/2008,12,2008,51,12/19/2008
Jaffna,0,12/13/2008,12,2008,51,12/19/2008
Kalmunai,0,12/13/2008,12,2008,51,12/19/2008
Kalutara,9,12/13/2008,12,2008,51,12/19/2008
Kandy,16,12/13/2008,12,2008,51,12/19/2008
Kegalle,13,12/13/2008,12,2008,51,12/19/2008
Kilinochchi,0,12/13/2008,12,2008,51,12/19/2008
Kurunegala,6,12/13/2008,12,2008,51,12/19/2008
Mannar,4,12/13/2008,12,2008,51,12/19/2008
Matale,20,12/13/2008,12,2008,51,12/19/2008
Matara,20,12/13/2008,12,2008,51,12/19/2008
Monaragala,3,12/13/2008,12,2008,51,12/19/2008
Mullaitivu,0,12/13/2008,12,2008,51,12/19/2008
Nuwara Eliya,1,12/13/2008,12,2008,51,12/19/2008
Polonnaruwa,0,12/13/2008,12,2008,51,12/19/2008
Puttalam,1,12/13/2008,12,2008,51,12/19/2008
Ratnapura,6,12/13/2008,12,2008,51,12/19/2008
Trincomalee,0,12/13/2008,12,2008,51,12/19/2008
Vavuniya,0,12/13/2008,12,2008,51,12/19/2008
Ampara,0,12/20/2008,12,2008,52,12/26/2008
Anuradhapura,2,12/20/2008,12,2008,52,12/26/2008
Badulla,1,12/20/2008,12,2008,52,12/26/2008
Batticaloa,1,12/20/2008,12,2008,52,12/26/2008
Colombo,15,12/20/2008,12,2008,52,12/26/2008
Galle,0,12/20/2008,12,2008,52,12/26/2008
Gampaha,7,12/20/2008,12,2008,52,12/26/2008
Hambantota,6,12/20/2008,12,2008,52,12/26/2008
Jaffna,0,12/20/2008,12,2008,52,12/26/2008
Kalmunai,0,12/20/2008,12,2008,52,12/26/2008
Kalutara,1,12/20/2008,12,2008,52,12/26/2008
Kandy,11,12/20/2008,12,2008,52,12/26/2008
Kegalle,16,12/20/2008,12,2008,52,12/26/2008
Kilinochchi,0,12/20/2008,12,2008,52,12/26/2008
Kurunegala,2,12/20/2008,12,2008,52,12/26/2008
Mannar,8,12/20/2008,12,2008,52,12/26/2008
Matale,4,12/20/2008,12,2008,52,12/26/2008
Matara,22,12/20/2008,12,2008,52,12/26/2008
Monaragala,1,12/20/2008,12,2008,52,12/26/2008
Mullaitivu,0,12/20/2008,12,2008,52,12/26/2008
Nuwara Eliya,0,12/20/2008,12,2008,52,12/26/2008
Polonnaruwa,0,12/20/2008,12,2008,52,12/26/2008
