District,n_rows,n_defined,outbreak_pct,candidate,parameter,k,pooled_outbreak_pct,pooled_n_defined,pooled_n_undefined,pooled_pct_undefined
Kilinochchi,1018.0,859.0,21.071012805587895,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Kurunegala,1018.0,860.0,13.488372093023257,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Mannar,1018.0,860.0,13.13953488372093,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Matale,1018.0,860.0,11.744186046511627,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Matara,1018.0,860.0,16.162790697674417,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Monaragala,1018.0,860.0,16.27906976744186,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Mullaitivu,1018.0,859.0,18.044237485448196,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Nuwara Eliya,1018.0,860.0,13.25581395348837,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Polonnaruwa,1018.0,860.0,16.046511627906977,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Puttalam,1018.0,860.0,12.558139534883722,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Ratnapura,1018.0,860.0,20.0,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Trincomalee,1018.0,860.0,18.83720930232558,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Vavuniya,1018.0,860.0,12.44186046511628,windowed,1,2.0,16.866685273048656,21498,3952,15.528487229862476
Ampara,1018.0,860.0,12.093023255813954,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Anuradhapura,1018.0,860.0,9.534883720930234,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Badulla,1018.0,860.0,16.162790697674417,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Batticaloa,1018.0,860.0,16.27906976744186,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Colombo,1018.0,860.0,16.162790697674417,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Galle,1018.0,860.0,18.953488372093023,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Gampaha,1018.0,860.0,13.488372093023257,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Hambantota,1018.0,860.0,12.093023255813954,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Jaffna,1018.0,860.0,20.0,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Kalutara,1018.0,860.0,17.906976744186046,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Kandy,1018.0,860.0,14.186046511627906,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Kegalle,1018.0,860.0,10.69767441860465,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Kilinochchi,1018.0,859.0,18.975552968568103,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Kurunegala,1018.0,860.0,10.465116279069768,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Mannar,1018.0,860.0,11.976744186046512,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
Matale,1018.0,860.0,8.255813953488373,windowed,1,2.5,13.954786491766678,21498,3952,15.528487229862476
