District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code),Estimated_Population,Source_Type,elevation_m
Vavuniya,2014,16,2014-04-12,2014-04-18,0,9.0,9.0,71.28571428571429,93.0,45.142857142857146,34.1,24.61428571428572,33.44285714285714,39.614285714285714,29.514285714285712,28.714285714285715,51.0,172148,interpolated,104.0
Vavuniya,2014,17,2014-04-19,2014-04-25,0,32.7,32.7,75.57142857142857,93.71428571428572,51.0,33.67142857142857,24.9,33.55714285714286,39.614285714285714,30.2,28.485714285714288,3.0,172148,interpolated,104.0
Vavuniya,2014,18,2014-04-26,2014-05-02,0,53.2,53.2,81.71428571428571,95.42857142857144,58.285714285714285,32.91428571428572,24.557142857142857,33.22857142857143,39.91428571428571,29.842857142857145,27.67142857142857,63.0,172148,interpolated,104.0
Vavuniya,2014,19,2014-05-03,2014-05-09,0,89.6,89.6,87.28571428571429,97.14285714285714,70.14285714285714,30.485714285714288,24.042857142857144,31.25714285714286,36.5,28.9,26.285714285714285,63.0,172148,interpolated,104.0
Vavuniya,2014,20,2014-05-10,2014-05-16,0,4.9,4.9,79.28571428571429,91.14285714285714,62.85714285714285,32.07142857142857,25.67142857142857,32.24285714285714,37.18571428571429,29.714285714285715,28.142857142857142,51.0,172148,interpolated,104.0
Vavuniya,2014,21,2014-05-17,2014-05-23,0,0.8,0.8,73.0,89.28571428571429,50.71428571428572,33.24285714285714,25.75714285714286,32.214285714285715,37.05714285714286,29.47142857142857,28.82857142857143,3.0,172148,interpolated,104.0
Vavuniya,2014,22,2014-05-24,2014-05-30,2,3.7,3.7,73.28571428571429,87.85714285714286,53.142857142857146,33.528571428571425,26.142857142857142,32.371428571428574,37.114285714285714,29.82857142857143,29.02857142857143,51.0,172148,interpolated,104.0
Vavuniya,2014,23,2014-05-31,2014-06-06,7,9.6,9.6,73.71428571428571,85.42857142857143,55.71428571428572,33.08571428571428,26.45714285714286,32.15714285714286,36.771428571428565,29.685714285714287,28.97142857142857,51.0,172148,interpolated,104.0
Vavuniya,2014,24,2014-06-07,2014-06-13,12,1.6,1.6,66.0,80.42857142857143,46.42857142857143,34.214285714285715,26.957142857142856,32.042857142857144,36.285714285714285,29.47142857142857,29.77142857142857,51.0,172148,interpolated,104.0
Vavuniya,2014,25,2014-06-14,2014-06-20,11,2.7,2.7,65.57142857142857,82.0,42.0,34.74285714285714,26.685714285714287,32.17142857142857,36.7,29.642857142857142,29.857142857142858,3.0,172148,interpolated,104.0
Vavuniya,2014,26,2014-06-21,2014-06-27,3,2.1,2.1,66.42857142857143,84.28571428571429,41.285714285714285,35.0,26.17142857142857,32.08571428571428,37.57142857142857,29.11428571428572,29.6,51.0,172148,interpolated,104.0
Vavuniya,2014,27,2014-06-28,2014-07-04,5,3.2,3.2,67.57142857142857,85.57142857142857,43.71428571428572,34.642857142857146,25.82857142857143,31.857142857142858,37.385714285714286,28.857142857142858,29.32857142857143,51.0,172148,interpolated,104.0
Vavuniya,2014,28,2014-07-05,2014-07-11,2,10.8,10.8,70.42857142857143,85.0,48.142857142857146,33.32857142857143,26.042857142857144,31.3,36.12857142857143,29.014285714285712,28.7,51.0,172148,interpolated,104.0
Vavuniya,2014,29,2014-07-12,2014-07-18,8,2.8,2.8,66.42857142857143,81.14285714285714,43.142857142857146,33.55714285714286,26.12857142857143,30.5,34.77142857142857,28.385714285714283,28.885714285714283,51.0,172148,interpolated,104.0
Vavuniya,2014,30,2014-07-19,2014-07-25,0,1.9,1.9,64.85714285714286,81.14285714285714,40.0,34.300000000000004,26.285714285714285,31.157142857142865,35.41428571428572,28.842857142857145,29.32857142857143,51.0,172148,interpolated,104.0
Vavuniya,2014,31,2014-07-26,2014-08-01,0,3.4000000000000004,3.4000000000000004,66.42857142857143,81.71428571428571,43.285714285714285,34.042857142857144,26.1,30.985714285714288,35.67142857142857,28.65714285714285,29.057142857142857,51.0,172148,interpolated,104.0
Vavuniya,2014,32,2014-08-02,2014-08-08,2,8.8,8.8,67.0,82.57142857142857,44.285714285714285,34.01428571428571,25.942857142857143,31.3,36.57142857142857,28.9,28.9,53.0,172148,interpolated,104.0
Vavuniya,2014,33,2014-08-09,2014-08-15,1,20.1,20.1,71.14285714285714,85.42857142857143,49.42857142857143,33.05714285714286,25.27142857142857,30.82857142857143,36.457142857142856,28.314285714285717,28.0,51.0,172148,interpolated,104.0
Vavuniya,2014,34,2014-08-16,2014-08-22,1,55.5,55.5,78.71428571428571,92.0,58.0,31.75714285714286,24.314285714285717,30.842857142857145,36.18571428571429,27.9,27.0,63.0,172148,interpolated,104.0
Vavuniya,2014,35,2014-08-23,2014-08-29,1,2.3,2.3,72.71428571428571,87.42857142857143,51.42857142857143,31.542857142857144,24.728571428571428,29.557142857142857,33.628571428571426,27.2,27.457142857142856,3.0,172148,interpolated,104.0
Vavuniya,2014,36,2014-08-30,2014-09-05,1,2.8,2.8,71.71428571428571,86.28571428571429,49.71428571428572,32.31428571428571,24.957142857142856,29.8,34.08571428571428,27.428571428571427,27.8,51.0,172148,interpolated,104.0
Vavuniya,2014,37,2014-09-06,2014-09-12,1,4.7,4.7,67.71428571428571,85.28571428571429,42.142857142857146,34.114285714285714,25.24285714285714,30.75714285714286,36.54285714285714,27.928571428571427,28.542857142857144,51.0,172148,interpolated,104.0
Vavuniya,2014,38,2014-09-13,2014-09-19,1,4.5,4.5,67.57142857142857,83.0,44.142857142857146,33.371428571428574,25.67142857142857,30.485714285714288,35.51428571428571,28.185714285714287,28.542857142857144,51.0,172148,interpolated,104.0
Vavuniya,2014,39,2014-09-20,2014-09-26,1,45.2,45.2,70.42857142857143,88.28571428571429,43.42857142857143,34.67142857142857,25.1,32.24285714285715,39.2,28.942857142857143,28.585714285714285,51.0,172148,interpolated,104.0
Vavuniya,2014,40,2014-09-27,2014-10-03,0,75.7,75.7,84.85714285714286,96.57142857142856,65.14285714285714,30.357142857142858,23.74285714285714,31.5,36.41428571428572,28.62857142857143,26.228571428571428,63.0,172148,interpolated,104.0
Vavuniya,2014,41,2014-10-04,2014-10-10,2,17.2,17.2,80.71428571428571,91.28571428571428,64.71428571428571,30.714285714285715,24.65714285714285,30.77142857142857,35.642857142857146,28.342857142857145,26.985714285714288,51.0,172148,interpolated,104.0
Vavuniya,2014,42,2014-10-11,2014-10-17,0,48.2,48.2,79.71428571428571,91.57142857142856,59.71428571428572,31.185714285714287,24.62857142857143,30.8,35.885714285714286,28.228571428571428,26.957142857142856,3.0,172148,interpolated,104.0
Vavuniya,2014,43,2014-10-18,2014-10-24,0,102.8,102.8,89.28571428571429,98.42857142857144,70.71428571428571,29.4,22.857142857142858,30.228571428571428,35.357142857142854,27.514285714285712,25.142857142857142,63.0,172148,interpolated,104.0
Vavuniya,2014,44,2014-10-25,2014-10-31,0,46.400000000000006,46.400000000000006,87.0,98.14285714285714,69.0,29.585714285714285,22.928571428571427,30.61428571428572,35.614285714285714,27.61428571428572,25.585714285714285,63.0,172148,interpolated,104.0
